,median,median,median,median,median
,LandPrice,LandPrice,LandPrice,LandPrice,LandPrice
ASSOC_CAT,High-High,High-Low,Low-High,Low-Low,Not Significant
RowLabel,,,,,
Artificial use,52550.0,115500.0,162000.0,513000.0,388800.0
Mixed use,174800.0,167200.0,172300.0,200000.0,154700.0
Natural use,32300.0,42700.0,39000.0,52500.0,41000.0
