,mean,mean,mean,mean,mean,std,std,std,std,std
,MEDIAN,MEDIAN,MEDIAN,MEDIAN,MEDIAN,MEDIAN,MEDIAN,MEDIAN,MEDIAN,MEDIAN
ASSOC_CAT,High-High,High-Low,Low-High,Low-Low,Not Significant,High-High,High-Low,Low-High,Low-Low,Not Significant
RowLabel,,,,,,,,,,
Artificial use,0.09312380455129328,0.09564596724104163,-0.17642674277687728,-0.2303569570451184,-0.04825461883098417,0.1366838728540367,0.1334560106145833,0.15027253965524756,0.16183606535556325,0.1267350000619573
Mixed use,0.05082110489408175,0.09277091164141893,-0.15758401278735085,-0.1819562896052537,-0.05029798406276771,0.1419778888771596,0.14202760261553418,0.14793989972013585,0.14840616638982806,0.1350230089057986
Natural use,0.11752210568565986,0.11405665904377738,-0.1535573921383819,-0.16282201159110776,-0.0162016600518957,0.15217331757233185,0.15256191534254204,0.14793772411408862,0.14621113214239426,0.134045666469593
